Students age,Gender,Relationship status,Department,Type of University,Father's education,Mother's education,Father's Occupation,Mother's Occupation,Family Income(monthly),Number of Siblings,Parental status,Previous School Location,Previous College Location,SSC result,HSC result,Scholarship in SSC,Scholarship in HSC,Accommodation,Weekly Study Time at home,Reading Scientific books/articles/journals,Reading Non-Scientific books/articles/journals,Attendance in class,Mid-Term Exam Preparation,Taking Exam Preparation,Taking Class Note,Any Co-curricular activity,Attend any Seminar related to department,Any part-time job,Smoking,Sports/ Exercise,Undergraduate 1st semester result (CGPA/GPA out of 4)
21-23 years,Male,Single,IRE,Public,B.A./B.Sc./Hons/Degree,B.A./B.Sc./Hons/Degree,Business,Private Job,"26,000-40,000TK",1,Happily Married,Urban,Urban,GPA 5.00,GPA 5.00,Yes,No,University Hall,Less than 1 Hour,No,No,More than 80%class,Group study,Close date to exam,Sometimes,No,Yes,Not Applicable,No,Always,3.75 - 4.00
21-23 years,Male,Single,EDU TECH,Public,Primary School,Primary School,Self-employed,Housewife,"<25,000Tk",3 or above,Happily Married,Rural,Country Town,GPA 5.00,GPA 5.00,Yes,Yes,University Hall,More than 15 Hour,No,Yes,More than 80%class,Alone,Close date to exam,Sometimes,Yes,No,Tution,No,Sometimes,3.75 - 4.00
21-23 years,Male,Single,IoT & Robotics Engineering,Public,B.A./B.Sc./Hons/Degree,College,Private Job,Housewife,41000-55000TK,1,Happily Married,Rural,Rural,GPA 5.00,GPA 5.00,No,No,University Hall,More than 15 Hour,Yes,Yes,More than 80%class,Alone,Regular study during the semester,Always,Yes,Yes,Tution,No,Always,3.50 - 3.74
21-23 years,Female,In a love relationship,Educational Technology ,Public,College,College,Private Job,Housewife,"26,000-40,000TK",1,Happily Married,Urban,Urban,GPA 5.00,GPA 5.00,No,No,University Hall,2-5 Hour,Yes,Yes,More than 80%class,Alone,Close date to exam,Always,Yes,Yes,Others,No,Never,3.25 - 3.49
21-23 years,Female,Married,Educational Technology,Public,M.Sc/M.A.,College,Govt. Service,Housewife,41000-55000TK,3 or above,Happily Married,Country Town,Urban,GPA 5.00,GPA 5.00,No,Yes,University Hall,2-5 Hour,No,Yes,More than 80%class,Group study,Close date to exam,Always,No,No,Tution,No,Sometimes,3.25 - 3.49
21-23 years,Female,In a love relationship,EdTech,Public,B.A./B.Sc./Hons/Degree,College,Retired,Housewife,"<25,000Tk",3 or above,Happily Married,Country Town,Country Town,GPA 5.00,GPA 5.00,No,Yes,University Hall,6-10Hour,Yes,Yes,More than 80%class,Alone,Close date to exam,Always,Yes,No,Tution,No,Always,2.75 - 2.99
21-23 years,Male,Single,EdTech,Public,B.A./B.Sc./Hons/Degree,B.A./B.Sc./Hons/Degree,Private Job,Housewife,"<25,000Tk",1,Happily Married,Country Town,Country Town,GPA 5.00,GPA 5.00,Yes,No,University Hall,Less than 1 Hour,Yes,Yes,More than 80%class,Alone,Close date to exam,Sometimes,No,Yes,Not Applicable,No,Sometimes,3.75 - 4.00
24-26 years,Male,Single,IRE,Public,Primary School,Primary School,Business,Housewife,"<25,000Tk",2,Happily Married,Country Town,Country Town,GPA 5.00,GPA 5.00,Yes,Yes,University Hall,Less than 1 Hour,Yes,Yes,More than 80%class,Group study,Close date to exam,Sometimes,Yes,Yes,Not Applicable,No,Sometimes,3.25 - 3.49
24-26 years,Male,Single,Ed.Tech,Public,B.A./B.Sc./Hons/Degree,B.A./B.Sc./Hons/Degree,Govt. Service,Housewife,"26,000-40,000TK",No Siblings,Happily Married,Urban,Urban,GPA 5.00,GPA 5.00,No,No,University Hall,Less than 1 Hour,No,No,More than 80%class,Alone,Close date to exam,Never,No,No,Not Applicable,No,Never,3.50 - 3.74
18-20 years,Female,Single,IRE,Public,M.Sc/M.A.,Ph.D.,Govt. Service,Self-employed,">60,000",No Siblings,Happily Married,Country Town,Urban,GPA 5.00,GPA 5.00,No,Yes,University Hall,2-5 Hour,Yes,Yes,More than 80%class,Alone,Close date to exam,Always,Yes,No,Not Applicable,No,Sometimes,3.00 - 3.24
21-23 years,Male,Single,IRE,Public,College,Secondary School,Govt. Service,Housewife,"26,000-40,000TK",3 or above,Happily Married,Rural,Urban,GPA 5.00,GPA 5.00,No,Yes,University Hall,6-10Hour,No,Yes,More than 80%class,Group study,Close date to exam,Sometimes,Yes,Yes,Tution,No,Sometimes,3.00 - 3.24
24-26 years,Male,Single,Textile Engineering ,Public,Secondary School,College,Retired,Housewife,"26,000-40,000TK",3 or above,Happily Married,Urban,Country Town,GPA 4.00 - 4.99,GPA 4.00 - 4.99,No,No,University Hall,Less than 1 Hour,No,Yes,More than 80%class,Alone,Close date to exam,Sometimes,No,No,Tution,No,Sometimes,3.00 - 3.24
21-23 years,Female,Single,Microbiology ,Private,M.Sc/M.A.,B.A./B.Sc./Hons/Degree,Retired,Housewife,">60,000",3 or above,Happily Married,Country Town,Country Town,GPA 5.00,GPA 5.00,No,No,With family,2-5 Hour,Yes,Yes,More than 80%class,Alone,Close date to exam,Sometimes,No,Yes,Not Applicable,No,Sometimes,3.75 - 4.00
24-26 years,Female,Single,BIS ,Public,M.Sc/M.A.,College,Govt. Service,Housewife,41000-55000TK,1,Happily Married,Urban,Urban,GPA 5.00,GPA 5.00,No,No,Rental,2-5 Hour,No,No,60%-79% classes,Alone,Close date to exam,Never,No,No,Others,No,Sometimes,3.50 - 3.74
21-23 years,Female,Single,IRE,Public,College,B.A./B.Sc./Hons/Degree,Govt. Service,Housewife,"26,000-40,000TK",1,Happily Married,Urban,Urban,GPA 5.00,GPA 5.00,Yes,Yes,University Hall,Less than 1 Hour,No,Yes,More than 80%class,Group study,Regular study during the semester,Always,Yes,Yes,Not Applicable,No,Sometimes,3.00 - 3.24
24-26 years,Female,In a love relationship,Educational technology ,Public,M.Sc/M.A.,M.Sc/M.A.,Business,Govt. Service,"56000-60,000",1,Happily Married,Country Town,Country Town,GPA 5.00,GPA 5.00,Yes,No,With family,Less than 1 Hour,Yes,Yes,More than 80%class,Alone,Close date to exam,Sometimes,Yes,Yes,Not Applicable,No,Sometimes,3.75 - 4.00
21-23 years,Female,Single,EdTech,Public,B.A./B.Sc./Hons/Degree,B.A./B.Sc./Hons/Degree,Business,Housewife,41000-55000TK,3 or above,Happily Married,Country Town,Country Town,GPA 5.00,GPA 5.00,No,No,University Hall,Less than 1 Hour,Yes,Yes,More than 80%class,Alone,Close date to exam,Sometimes,Yes,Yes,Not Applicable,No,Sometimes,3.50 - 3.74
24-26 years,Female,Married,Edtech,Public,B.A./B.Sc./Hons/Degree,Secondary School,Govt. Service,Housewife,41000-55000TK,1,Happily Married,Urban,Country Town,GPA 5.00,GPA 5.00,Yes,No,With family,2-5 Hour,Yes,No,More than 80%class,Alone,Close date to exam,Always,No,No,Not Applicable,No,Sometimes,3.50 - 3.74
21-23 years,Female,Single,IRE,Public,B.A./B.Sc./Hons/Degree,College,Retired,Housewife,">60,000",1,Happily Married,Country Town,Country Town,GPA 5.00,GPA 5.00,No,Yes,University Hall,Less than 1 Hour,No,No,More than 80%class,Group study,Close date to exam,Sometimes,Yes,Yes,Not Applicable,No,Sometimes,3.25 - 3.49
21-23 years,Female,Married,IRE,Public,College,College,Business,Housewife,"56000-60,000",1,Happily Married,Rural,Rural,GPA 5.00,GPA 5.00,Yes,No,University Hall,Less than 1 Hour,Yes,Yes,More than 80%class,Alone,Close date to exam,Sometimes,No,No,Not Applicable,No,Never,2.50 - 2.74
21-23 years,Female,Single,Educational Technology ,Public,B.A./B.Sc./Hons/Degree,College,Govt. Service,Housewife,41000-55000TK,2,Happily Married,Country Town,Country Town,GPA 5.00,GPA 5.00,No,No,University Hall,2-5 Hour,No,No,More than 80%class,Alone,Close date to exam,Sometimes,Yes,Yes,Business,No,Sometimes,3.75 - 4.00
21-23 years,Female,Single,Educational Technology ,Public,B.A./B.Sc./Hons/Degree,M.Sc/M.A.,Business,Govt. Service,"56000-60,000",No Siblings,Happily Married,Country Town,Country Town,GPA 5.00,GPA 5.00,Yes,Yes,University Hall,Less than 1 Hour,Yes,Yes,More than 80%class,Not applicable,Close date to exam,Always,No,No,Not Applicable,No,Sometimes,3.50 - 3.74
24-26 years,Female,In a love relationship,Educational Technology ,Public,College,Secondary School,Govt. Service,Housewife,"56000-60,000",2,Happily Married,Country Town,Country Town,GPA 5.00,GPA 5.00,No,Yes,University Hall,2-5 Hour,Yes,Yes,More than 80%class,Alone,Regular study during the semester,Sometimes,No,Yes,Not Applicable,No,Sometimes,3.00 - 3.24
21-23 years,Female,Single,Educational Technology ,Public,M.Sc/M.A.,M.Sc/M.A.,Business,Housewife,">60,000",No Siblings,Happily Married,Urban,Urban,GPA 5.00,GPA 5.00,Yes,No,University Hall,Less than 1 Hour,Yes,Yes,More than 80%class,Alone,Close date to exam,Sometimes,Yes,No,Not Applicable,No,Sometimes,3.50 - 3.74
Above 26,Male,Single,Ed-Tech,Public,B.A./B.Sc./Hons/Degree,B.A./B.Sc./Hons/Degree,Govt. Service,Business,">60,000",2,Happily Married,Country Town,Country Town,GPA 5.00,GPA 5.00,No,No,University Hall,2-5 Hour,No,No,More than 80%class,Group study,Close date to exam,Sometimes,Yes,Yes,Business,No,Sometimes,3.50 - 3.74
21-23 years,Female,Single,Department of Internet of Things and Robotics Engineering ,Public,B.A./B.Sc./Hons/Degree,College,Business,Housewife,41000-55000TK,3 or above,Happily Married,Country Town,Country Town,GPA 5.00,GPA 5.00,No,No,University Hall,2-5 Hour,No,No,More than 80%class,Alone,Close date to exam,Sometimes,No,No,Not Applicable,No,Never,2.75 - 2.99
24-26 years,Male,Single,IRE,Public,Primary School,Secondary School,Self-employed,Housewife,"26,000-40,000TK",1,Happily Married,Urban,Country Town,GPA 5.00,GPA 5.00,No,No,University Hall,6-10Hour,No,Yes,More than 80%class,Alone,Close date to exam,Sometimes,No,Yes,Not Applicable,No,Sometimes,3.25 - 3.49
21-23 years,Male,Single,IRE,Public,B.A./B.Sc./Hons/Degree,College,Retired,Housewife,"<25,000Tk",3 or above,Died-one of them or both,Urban,Urban,GPA 5.00,GPA 5.00,Yes,No,University Hall,Less than 1 Hour,No,No,More than 80%class,Group study,Close date to exam,Always,Yes,Yes,Not Applicable,No,Sometimes,3.75 - 4.00
24-26 years,Female,Single,IRE,Public,M.Sc/M.A.,B.A./B.Sc./Hons/Degree,Retired,Housewife,"<25,000Tk",1,Happily Married,Country Town,Country Town,GPA 5.00,GPA 5.00,No,Yes,With family,Less than 1 Hour,No,No,More than 80%class,Alone,Regular study during the semester,Never,Yes,Yes,Not Applicable,No,Sometimes,3.25 - 3.49
21-23 years,Male,In a love relationship,IRE,Public,Secondary School,Secondary School,Govt. Service,Housewife,"26,000-40,000TK",1,Happily Married,Urban,Urban,GPA 5.00,GPA 5.00,Yes,No,University Hall,2-5 Hour,No,No,More than 80%class,Group study,Close date to exam,Sometimes,No,Yes,Not Applicable,No,Sometimes,3.75 - 4.00
21-23 years,Male,Single,Educational Technology ,Public,M.Sc/M.A.,B.A./B.Sc./Hons/Degree,Business,Housewife,">60,000",2,Happily Married,Country Town,Urban,GPA 5.00,GPA 5.00,Yes,No,University Hall,6-10Hour,Yes,No,More than 80%class,Group study,Close date to exam,Sometimes,Yes,Yes,Not Applicable,No,Sometimes,3.50 - 3.74
21-23 years,Male,Married,Iot and Robotics Engineering ,Public,B.A./B.Sc./Hons/Degree,B.A./B.Sc./Hons/Degree,Govt. Service,Govt. Service,">60,000",2,Happily Married,Country Town,Country Town,GPA 5.00,GPA 5.00,Yes,Yes,University Hall,Less than 1 Hour,Yes,No,More than 80%class,Alone,Close date to exam,Never,Yes,Yes,Tution,No,Always,3.75 - 4.00
21-23 years,Male,Single,IRE,Public,Secondary School,Primary School,Govt. Service,Housewife,"26,000-40,000TK",1,Happily Married,Country Town,Country Town,GPA 5.00,GPA 5.00,Yes,Yes,University Hall,Less than 1 Hour,Yes,No,More than 80%class,Alone,Close date to exam,Never,Yes,Yes,Not Applicable,No,Sometimes,3.50 - 3.74
21-23 years,Male,In a love relationship,IRE,Public,M.Sc/M.A.,M.Sc/M.A.,Govt. Service,Govt. Service,"56000-60,000",1,Happily Married,Country Town,Country Town,GPA 5.00,GPA 5.00,No,No,University Hall,2-5 Hour,Yes,No,More than 80%class,Group study,Close date to exam,Sometimes,Yes,Yes,Tution,No,Always,3.50 - 3.74
21-23 years,Male,Married,IRE,Public,M.Sc/M.A.,B.A./B.Sc./Hons/Degree,Self-employed,Self-employed,">60,000",2,Happily Married,Urban,Urban,GPA 5.00,GPA 5.00,Yes,Yes,University Hall,2-5 Hour,Yes,Yes,More than 80%class,Group study,Close date to exam,Always,Yes,Yes,Tution,No,Sometimes,3.50 - 3.74
21-23 years,Female,Single,IRE,Public,M.Sc/M.A.,B.A./B.Sc./Hons/Degree,Business,Housewife,">60,000",1,Happily Married,Urban,Urban,GPA 5.00,GPA 5.00,No,No,University Hall,Less than 1 Hour,Yes,Yes,More than 80%class,Group study,Close date to exam,Sometimes,Yes,No,Not Applicable,No,Sometimes,3.50 - 3.74
21-23 years,Female,In a love relationship,Ed-Tech 4th,Public,College,Secondary School,Private Job,Self-employed,"56000-60,000",1,Happily Married,Country Town,Country Town,GPA 5.00,GPA 5.00,No,No,University Hall,2-5 Hour,Yes,Yes,60%-79% classes,Group study,Regular study during the semester,Always,Yes,Yes,Not Applicable,No,Sometimes,3.50 - 3.74
21-23 years,Male,Single,Educational Technology ,Public,B.A./B.Sc./Hons/Degree,B.A./B.Sc./Hons/Degree,Business,Housewife,"26,000-40,000TK",3 or above,Happily Married,Urban,Urban,GPA 5.00,GPA 5.00,Yes,Yes,University Hall,2-5 Hour,No,Yes,More than 80%class,Alone,Close date to exam,Sometimes,Yes,No,Not Applicable,No,Always,3.75 - 4.00
21-23 years,Female,Single,EdTech,Public,College,College,Self-employed,Housewife,"<25,000Tk",2,Happily Married,Urban,Urban,GPA 5.00,GPA 5.00,Yes,No,University Hall,2-5 Hour,No,No,More than 80%class,Alone,Close date to exam,Always,No,No,Not Applicable,No,Never,3.50 - 3.74
24-26 years,Male,Single,IRE,Public,M.Sc/M.A.,M.Sc/M.A.,Govt. Service,Housewife,41000-55000TK,1,Happily Married,Urban,Urban,GPA 5.00,GPA 5.00,No,Yes,University Hall,2-5 Hour,Yes,No,More than 80%class,Group study,Regular study during the semester,Sometimes,Yes,No,Not Applicable,No,Always,3.00 - 3.24
21-23 years,Female,Single,EdTech,Public,B.A./B.Sc./Hons/Degree,B.A./B.Sc./Hons/Degree,Govt. Service,Housewife,"26,000-40,000TK",3 or above,Happily Married,Country Town,Rural,GPA 5.00,GPA 5.00,No,Yes,University Hall,2-5 Hour,No,Yes,More than 80%class,Not applicable,Close date to exam,Sometimes,No,Yes,Tution,No,Sometimes,3.50 - 3.74
21-23 years,Female,Single,IRE,Public,B.A./B.Sc./Hons/Degree,B.A./B.Sc./Hons/Degree,Govt. Service,Housewife,"<25,000Tk",3 or above,Happily Married,Urban,Urban,GPA 5.00,GPA 5.00,No,Yes,University Hall,2-5 Hour,Yes,Yes,More than 80%class,Alone,Close date to exam,Always,Yes,No,Not Applicable,Yes,Sometimes,3.00 - 3.24
18-20 years,Female,Single,Internet Of Things and Robotics Engineering ,Public,College,M.Sc/M.A.,Private Job,Govt. Service,"<25,000Tk",1,Happily Married,Urban,Urban,GPA 5.00,GPA 5.00,No,No,University Hall,2-5 Hour,Yes,Yes,More than 80%class,Not applicable,Close date to exam,Sometimes,No,Yes,Not Applicable,No,Sometimes,3.00 - 3.24
21-23 years,Male,Single,Educational Technology ,Public,B.A./B.Sc./Hons/Degree,B.A./B.Sc./Hons/Degree,Govt. Service,Housewife,"26,000-40,000TK",1,Happily Married,Urban,Urban,GPA 5.00,GPA 5.00,Yes,Yes,University Hall,2-5 Hour,Yes,Yes,More than 80%class,Alone,Close date to exam,Never,Yes,Yes,Tution,No,Sometimes,3.75 - 4.00
21-23 years,Female,Single,Educational Technology ,Public,M.Sc/M.A.,M.Sc/M.A.,Retired,Govt. Service,41000-55000TK,1,Died-one of them or both,Rural,Rural,GPA 5.00,GPA 5.00,Yes,Yes,University Hall,2-5 Hour,Yes,No,More than 80%class,Alone,Close date to exam,Always,No,No,Not Applicable,No,Sometimes,3.50 - 3.74
21-23 years,Male,Single,Internet of Things and Robotics Engineering ,Public,B.A./B.Sc./Hons/Degree,College,Business,Housewife,41000-55000TK,No Siblings,Died-one of them or both,Urban,Urban,GPA 5.00,GPA 5.00,Yes,No,University Hall,11-14 Hour,Yes,Yes,More than 80%class,Alone,Close date to exam,Always,Yes,Yes,Others,No,Always,3.50 - 3.74
21-23 years,Male,Single,IRE,Public,B.A./B.Sc./Hons/Degree,B.A./B.Sc./Hons/Degree,Business,Housewife,"<25,000Tk",1,Happily Married,Urban,Urban,GPA 5.00,GPA 5.00,Yes,Yes,University Hall,6-10Hour,Yes,Yes,More than 80%class,Group study,Regular study during the semester,Always,Yes,Yes,Not Applicable,No,Sometimes,3.50 - 3.74
21-23 years,Male,Single,Edtech,Public,B.A./B.Sc./Hons/Degree,B.A./B.Sc./Hons/Degree,Govt. Service,Govt. Service,"26,000-40,000TK",1,Died-one of them or both,Country Town,Country Town,GPA 5.00,GPA 5.00,No,No,University Hall,Less than 1 Hour,Yes,Yes,More than 80%class,Alone,Close date to exam,Sometimes,Yes,No,Not Applicable,Yes,Sometimes,3.50 - 3.74
21-23 years,Male,Single,IRE,Public,College,College,Govt. Service,Housewife,"26,000-40,000TK",2,Happily Married,Urban,Urban,GPA 5.00,GPA 5.00,No,Yes,University Hall,2-5 Hour,No,No,More than 80%class,Group study,Close date to exam,Sometimes,Yes,No,Not Applicable,Yes,Always,3.00 - 3.24
24-26 years,Male,Single,IRE,Public,B.A./B.Sc./Hons/Degree,College,Private Job,Housewife,41000-55000TK,No Siblings,Happily Married,Rural,Rural,GPA 5.00,GPA 4.00 - 4.99,No,No,University Hall,2-5 Hour,Yes,Yes,More than 80%class,Group study,Regular study during the semester,Sometimes,Yes,Yes,Not Applicable,No,Sometimes,3.50 - 3.74
21-23 years,Female,Single,Ire,Public,M.Sc/M.A.,M.Sc/M.A.,Business,Private Job,">60,000",3 or above,Happily Married,Urban,Urban,GPA 5.00,GPA 5.00,No,No,University Hall,2-5 Hour,No,Yes,More than 80%class,Alone,Close date to exam,Sometimes,No,No,Not Applicable,No,Sometimes,2.50 - 2.74
21-23 years,Male,Single,Ed-Tech,Public,B.A./B.Sc./Hons/Degree,B.A./B.Sc./Hons/Degree,Govt. Service,Govt. Service,41000-55000TK,1,Died-one of them or both,Urban,Urban,GPA 5.00,GPA 5.00,No,No,University Hall,Less than 1 Hour,No,No,More than 80%class,Group study,Close date to exam,Never,No,No,Not Applicable,No,Sometimes,3.00 - 3.24
18-20 years,Male,Single,Internet of things and robotics engineering ,Public,Secondary School,Secondary School,Business,Housewife,">60,000",No Siblings,Happily Married,Rural,Rural,GPA 4.00 - 4.99,GPA 5.00,No,Yes,University Hall,2-5 Hour,No,Yes,More than 80%class,Alone,Close date to exam,Sometimes,No,Yes,Tution,No,Sometimes,3.50 - 3.74
24-26 years,Male,In a love relationship,EdTech ,Public,M.Sc/M.A.,B.A./B.Sc./Hons/Degree,Private Job,Housewife,41000-55000TK,3 or above,Happily Married,Urban,Urban,GPA 5.00,GPA 5.00,Yes,No,University Hall,Less than 1 Hour,Yes,No,More than 80%class,Alone,Close date to exam,Sometimes,Yes,Yes,Tution,No,Sometimes,3.75 - 4.00
24-26 years,Male,Single,Economics,Public,M.Sc/M.A.,M.Sc/M.A.,Govt. Service,Housewife,">60,000",1,Happily Married,Urban,Urban,GPA 5.00,GPA 5.00,No,No,University Hall,2-5 Hour,No,Yes,More than 80%class,Alone,Close date to exam,Always,Yes,Yes,Not Applicable,Yes,Sometimes,2.50 - 2.74
21-23 years,Male,Single,Ed tech,Public,M.Sc/M.A.,M.Sc/M.A.,Retired,Govt. Service,">60,000",2,Happily Married,Urban,Urban,GPA 5.00,GPA 5.00,Yes,Yes,University Hall,2-5 Hour,Yes,Yes,More than 80%class,Group study,Close date to exam,Always,Yes,Yes,Not Applicable,No,Sometimes,3.75 - 4.00
24-26 years,Male,In a love relationship,Edtech,Public,B.A./B.Sc./Hons/Degree,College,Govt. Service,Housewife,"26,000-40,000TK",2,Died-one of them or both,Country Town,Urban,GPA 5.00,GPA 5.00,No,No,University Hall,Less than 1 Hour,No,Yes,More than 80%class,Alone,Close date to exam,Sometimes,Yes,Yes,Tution,No,Sometimes,3.50 - 3.74
21-23 years,Female,Single,English ,Private,M.Sc/M.A.,Secondary School,Business,Housewife,">60,000",2,Happily Married,Country Town,Country Town,GPA 4.00 - 4.99,GPA 5.00,No,No,With family,2-5 Hour,Yes,Yes,More than 80%class,Alone,Regular study during the semester,Always,Yes,No,Others,No,Sometimes,3.00 - 3.24
24-26 years,Male,Single,Bba,Private,College,B.A./B.Sc./Hons/Degree,Business,Housewife,"<25,000Tk",No Siblings,Died-one of them or both,Urban,Country Town,GPA 5.00,GPA 5.00,Yes,Yes,With family,Less than 1 Hour,Yes,Yes,More than 80%class,Alone,Regular study during the semester,Always,Yes,No,Tution,No,Always,3.25 - 3.49
24-26 years,Male,Single,EEE,Private,B.A./B.Sc./Hons/Degree,B.A./B.Sc./Hons/Degree,Govt. Service,Private Job,41000-55000TK,1,Happily Married,Rural,Country Town,GPA 5.00,GPA 4.00 - 4.99,No,No,Others,Less than 1 Hour,Yes,Yes,Less than 60% classes,Alone,Regular study during the semester,Always,Yes,Yes,Not Applicable,No,Sometimes,3.75 - 4.00
21-23 years,Male,Single,Textile Engineering ,Private,College,College,Retired,Housewife,"26,000-40,000TK",1,Happily Married,Urban,Urban,GPA 5.00,GPA 4.00 - 4.99,Yes,No,Rental,2-5 Hour,Yes,No,More than 80%class,Alone,Close date to exam,Always,Yes,Yes,Not Applicable,No,Sometimes,3.50 - 3.74
24-26 years,Male,Single,Farm Power and Machinery ,Public,College,Secondary School,Business,Housewife,"<25,000Tk",1,Happily Married,Rural,Urban,GPA 5.00,GPA 5.00,No,No,University Hall,2-5 Hour,Yes,Yes,More than 80%class,Group study,Regular study during the semester,Always,Yes,Yes,Tution,No,Always,3.50 - 3.74
24-26 years,Male,Single,Botany,Public,College,Secondary School,Retired,Housewife,"<25,000Tk",No Siblings,Happily Married,Country Town,Country Town,GPA 5.00,GPA 5.00,No,No,With family,2-5 Hour,Yes,Yes,Less than 60% classes,Alone,Close date to exam,Sometimes,Yes,Yes,Tution,Yes,Sometimes,2.50 - 2.74
24-26 years,Male,Single,BBA,Private,B.A./B.Sc./Hons/Degree,M.Sc/M.A.,Business,Govt. Service,"26,000-40,000TK",2,Happily Married,Rural,Country Town,GPA 5.00,GPA 4.00 - 4.99,Yes,No,Rental,Less than 1 Hour,No,No,60%-79% classes,Alone,Close date to exam,Never,No,No,Not Applicable,Yes,Always,3.75 - 4.00
